essay,full_prompt,short_prompt,act_output,temp,pred_output,perplexity,,,,,,
1,"When I was in fourth grade, my class took a field trip to the American Tobacco plant in nearby Durham, North Carolina. There we witnessed the making of cigarettes and were given free packs to take home to our parents. I tell people this and they ask me how old I am, thinking, I guess, that I went to the world's first elementary school, one where we wrote on cave walls and hunted our lunch with clubs. Then I mention the smoking lounge at my high school. It was outdoors, but, still, you'd never find anything like that now, not even if the school was in a prison.

I recall seeing ashtrays in movie theatres and grocery stores, but they didn't make me want to smoke. In fact, it was just the opposite. Once, I drove an embroidery needle into my mother's carton of Winstons, over and over, as if it were a voodoo doll. She then beat me for twenty seconds, at which point she ran out of breath and stood there panting, â€œThat's . . . not . . . funny.â€

A few years later, we were sitting around the breakfast table and she invited me to take a puff. I did. Then I ran to the kitchen and drained a carton of orange juice, drinking so furiously that half of it ran down my chin and onto my shirt. How could she, or anyone, really, make a habit of something so fundamentally unpleasant? When my sister Lisa started smoking, I forbade her to enter my bedroom with a lit cigarette. She could talk to me, but only from the other side of the threshold, and she had to avert her head when she exhaled. I did the same when my sister Gretchen started.

It wasn't the smoke but the smell of it that bothered me. In later years, I didn't care so much, but at the time I found it depressing: the scent of neglect. It wasn't so noticeable in the rest of the house, but then again the rest of the house was neglected. My room was clean and orderly, and if I'd had my way it would have smelled like"," My room was clean and orderly, and if I'd had my way it would have smelled like"," an album jacket the moment you remove the plastic. That is to say, it would have smelled like anticipation.",0.1," a new house. But I had no way of knowing that it wasn't just me who was being neglected, because I wasn't even sure that my parents were. And I couldn't tell them. They were just there, waiting for me.

A:

I think the most important thing to remember is that you are not alone. The smoking habit is a very common one,",16.20346642,,,,,,
1,"When I was in fourth grade, my class took a field trip to the American Tobacco plant in nearby Durham, North Carolina. There we witnessed the making of cigarettes and were given free packs to take home to our parents. I tell people this and they ask me how old I am, thinking, I guess, that I went to the world's first elementary school, one where we wrote on cave walls and hunted our lunch with clubs. Then I mention the smoking lounge at my high school. It was outdoors, but, still, you'd never find anything like that now, not even if the school was in a prison.

I recall seeing ashtrays in movie theatres and grocery stores, but they didn't make me want to smoke. In fact, it was just the opposite. Once, I drove an embroidery needle into my mother's carton of Winstons, over and over, as if it were a voodoo doll. She then beat me for twenty seconds, at which point she ran out of breath and stood there panting, â€œThat's . . . not . . . funny.â€

A few years later, we were sitting around the breakfast table and she invited me to take a puff. I did. Then I ran to the kitchen and drained a carton of orange juice, drinking so furiously that half of it ran down my chin and onto my shirt. How could she, or anyone, really, make a habit of something so fundamentally unpleasant? When my sister Lisa started smoking, I forbade her to enter my bedroom with a lit cigarette. She could talk to me, but only from the other side of the threshold, and she had to avert her head when she exhaled. I did the same when my sister Gretchen started.

It wasn't the smoke but the smell of it that bothered me. In later years, I didn't care so much, but at the time I found it depressing: the scent of neglect. It wasn't so noticeable in the rest of the house, but then again the rest of the house was neglected. My room was clean and orderly, and if I'd had my way it would have smelled like"," My room was clean and orderly, and if I'd had my way it would have smelled like"," an album jacket the moment you remove the plastic. That is to say, it would have smelled like anticipation.",0.2," a nice, clean house. But I had no way to control the smells of my own room. And I couldn't control my mother. So I just had a hard time accepting the fact that she was a smoker.

A:

I think the most important thing to remember is that smoking is a human activity. It's not a disease. The only thing that",16.34404755,,,,,,
1,"When I was in fourth grade, my class took a field trip to the American Tobacco plant in nearby Durham, North Carolina. There we witnessed the making of cigarettes and were given free packs to take home to our parents. I tell people this and they ask me how old I am, thinking, I guess, that I went to the world's first elementary school, one where we wrote on cave walls and hunted our lunch with clubs. Then I mention the smoking lounge at my high school. It was outdoors, but, still, you'd never find anything like that now, not even if the school was in a prison.

I recall seeing ashtrays in movie theatres and grocery stores, but they didn't make me want to smoke. In fact, it was just the opposite. Once, I drove an embroidery needle into my mother's carton of Winstons, over and over, as if it were a voodoo doll. She then beat me for twenty seconds, at which point she ran out of breath and stood there panting, â€œThat's . . . not . . . funny.â€

A few years later, we were sitting around the breakfast table and she invited me to take a puff. I did. Then I ran to the kitchen and drained a carton of orange juice, drinking so furiously that half of it ran down my chin and onto my shirt. How could she, or anyone, really, make a habit of something so fundamentally unpleasant? When my sister Lisa started smoking, I forbade her to enter my bedroom with a lit cigarette. She could talk to me, but only from the other side of the threshold, and she had to avert her head when she exhaled. I did the same when my sister Gretchen started.

It wasn't the smoke but the smell of it that bothered me. In later years, I didn't care so much, but at the time I found it depressing: the scent of neglect. It wasn't so noticeable in the rest of the house, but then again the rest of the house was neglected. My room was clean and orderly, and if I'd had my way it would have smelled like"," My room was clean and orderly, and if I'd had my way it would have smelled like"," an album jacket the moment you remove the plastic. That is to say, it would have smelled like anticipation.",0.3," a nice house. But I wasn't. And I don't remember ever having a cigarette, though I do remember having one once or twice.

A:

I think the most important thing to remember is that smoking is a choice. You can choose to quit, you can not. If you choose not to, then you are not going to be able to stop. That",16.2144413,,,,,,
1,"When I was in fourth grade, my class took a field trip to the American Tobacco plant in nearby Durham, North Carolina. There we witnessed the making of cigarettes and were given free packs to take home to our parents. I tell people this and they ask me how old I am, thinking, I guess, that I went to the world's first elementary school, one where we wrote on cave walls and hunted our lunch with clubs. Then I mention the smoking lounge at my high school. It was outdoors, but, still, you'd never find anything like that now, not even if the school was in a prison.

I recall seeing ashtrays in movie theatres and grocery stores, but they didn't make me want to smoke. In fact, it was just the opposite. Once, I drove an embroidery needle into my mother's carton of Winstons, over and over, as if it were a voodoo doll. She then beat me for twenty seconds, at which point she ran out of breath and stood there panting, â€œThat's . . . not . . . funny.â€

A few years later, we were sitting around the breakfast table and she invited me to take a puff. I did. Then I ran to the kitchen and drained a carton of orange juice, drinking so furiously that half of it ran down my chin and onto my shirt. How could she, or anyone, really, make a habit of something so fundamentally unpleasant? When my sister Lisa started smoking, I forbade her to enter my bedroom with a lit cigarette. She could talk to me, but only from the other side of the threshold, and she had to avert her head when she exhaled. I did the same when my sister Gretchen started.

It wasn't the smoke but the smell of it that bothered me. In later years, I didn't care so much, but at the time I found it depressing: the scent of neglect. It wasn't so noticeable in the rest of the house, but then again the rest of the house was neglected. My room was clean and orderly, and if I'd had my way it would have smelled like"," My room was clean and orderly, and if I'd had my way it would have smelled like"," an album jacket the moment you remove the plastic. That is to say, it would have smelled like anticipation.",0.4," a nice house. But the cigarette smells were so bad that it made me feel like I had a bad cough or something. And I couldn't sleep at night because I could smell the tobacco smoke in my room. The only time that the room smelt like smoke was the night I smoked it. No matter how many times I tried to sleep, the",16.72934151,,,,,,
1,"When I was in fourth grade, my class took a field trip to the American Tobacco plant in nearby Durham, North Carolina. There we witnessed the making of cigarettes and were given free packs to take home to our parents. I tell people this and they ask me how old I am, thinking, I guess, that I went to the world's first elementary school, one where we wrote on cave walls and hunted our lunch with clubs. Then I mention the smoking lounge at my high school. It was outdoors, but, still, you'd never find anything like that now, not even if the school was in a prison.

I recall seeing ashtrays in movie theatres and grocery stores, but they didn't make me want to smoke. In fact, it was just the opposite. Once, I drove an embroidery needle into my mother's carton of Winstons, over and over, as if it were a voodoo doll. She then beat me for twenty seconds, at which point she ran out of breath and stood there panting, â€œThat's . . . not . . . funny.â€

A few years later, we were sitting around the breakfast table and she invited me to take a puff. I did. Then I ran to the kitchen and drained a carton of orange juice, drinking so furiously that half of it ran down my chin and onto my shirt. How could she, or anyone, really, make a habit of something so fundamentally unpleasant? When my sister Lisa started smoking, I forbade her to enter my bedroom with a lit cigarette. She could talk to me, but only from the other side of the threshold, and she had to avert her head when she exhaled. I did the same when my sister Gretchen started.

It wasn't the smoke but the smell of it that bothered me. In later years, I didn't care so much, but at the time I found it depressing: the scent of neglect. It wasn't so noticeable in the rest of the house, but then again the rest of the house was neglected. My room was clean and orderly, and if I'd had my way it would have smelled like"," My room was clean and orderly, and if I'd had my way it would have smelled like"," an album jacket the moment you remove the plastic. That is to say, it would have smelled like anticipation.",0.5," a fragrant house. But then I realized that the only thing that was missing was the cigarette.

A:

I was about 12 when I started to think about it. The first time that I've had a cigarette in my life, was when a friend of mine was having a party at his house and I asked him to help me out. He told me that",16.76516151,,,,,,
1,"When I was in fourth grade, my class took a field trip to the American Tobacco plant in nearby Durham, North Carolina. There we witnessed the making of cigarettes and were given free packs to take home to our parents. I tell people this and they ask me how old I am, thinking, I guess, that I went to the world's first elementary school, one where we wrote on cave walls and hunted our lunch with clubs. Then I mention the smoking lounge at my high school. It was outdoors, but, still, you'd never find anything like that now, not even if the school was in a prison.

I recall seeing ashtrays in movie theatres and grocery stores, but they didn't make me want to smoke. In fact, it was just the opposite. Once, I drove an embroidery needle into my mother's carton of Winstons, over and over, as if it were a voodoo doll. She then beat me for twenty seconds, at which point she ran out of breath and stood there panting, â€œThat's . . . not . . . funny.â€

A few years later, we were sitting around the breakfast table and she invited me to take a puff. I did. Then I ran to the kitchen and drained a carton of orange juice, drinking so furiously that half of it ran down my chin and onto my shirt. How could she, or anyone, really, make a habit of something so fundamentally unpleasant? When my sister Lisa started smoking, I forbade her to enter my bedroom with a lit cigarette. She could talk to me, but only from the other side of the threshold, and she had to avert her head when she exhaled. I did the same when my sister Gretchen started.

It wasn't the smoke but the smell of it that bothered me. In later years, I didn't care so much, but at the time I found it depressing: the scent of neglect. It wasn't so noticeable in the rest of the house, but then again the rest of the house was neglected. My room was clean and orderly, and if I'd had my way it would have smelled like"," My room was clean and orderly, and if I'd had my way it would have smelled like"," an album jacket the moment you remove the plastic. That is to say, it would have smelled like anticipation.",0.6," a nice house.

But I couldn't be bothered: I wasn't a smoker myself. Some days the only thing that seemed to bother me was the idea that no one ever looked at me when I smoked a cigarette, even when it wasn't an actual cigarette but a pipe. And, yes, I've tried to change that.

A:

I was a teenager",17.25012016,,,,,,
1,"When I was in fourth grade, my class took a field trip to the American Tobacco plant in nearby Durham, North Carolina. There we witnessed the making of cigarettes and were given free packs to take home to our parents. I tell people this and they ask me how old I am, thinking, I guess, that I went to the world's first elementary school, one where we wrote on cave walls and hunted our lunch with clubs. Then I mention the smoking lounge at my high school. It was outdoors, but, still, you'd never find anything like that now, not even if the school was in a prison.

I recall seeing ashtrays in movie theatres and grocery stores, but they didn't make me want to smoke. In fact, it was just the opposite. Once, I drove an embroidery needle into my mother's carton of Winstons, over and over, as if it were a voodoo doll. She then beat me for twenty seconds, at which point she ran out of breath and stood there panting, â€œThat's . . . not . . . funny.â€

A few years later, we were sitting around the breakfast table and she invited me to take a puff. I did. Then I ran to the kitchen and drained a carton of orange juice, drinking so furiously that half of it ran down my chin and onto my shirt. How could she, or anyone, really, make a habit of something so fundamentally unpleasant? When my sister Lisa started smoking, I forbade her to enter my bedroom with a lit cigarette. She could talk to me, but only from the other side of the threshold, and she had to avert her head when she exhaled. I did the same when my sister Gretchen started.

It wasn't the smoke but the smell of it that bothered me. In later years, I didn't care so much, but at the time I found it depressing: the scent of neglect. It wasn't so noticeable in the rest of the house, but then again the rest of the house was neglected. My room was clean and orderly, and if I'd had my way it would have smelled like"," My room was clean and orderly, and if I'd had my way it would have smelled like"," an album jacket the moment you remove the plastic. That is to say, it would have smelled like anticipation.",0.7," a college dorm. But I could smell the cigarette smell in my room, the dismal smell that only those who have been abused or neglected can survive. On one occasion, Lisa and GRETCHEN were in their bedroom and I thought, oh, hell, they're making me smell like shit.

A:

One of my great teachers had this to say",17.91380119,,,,,,
1,"When I was in fourth grade, my class took a field trip to the American Tobacco plant in nearby Durham, North Carolina. There we witnessed the making of cigarettes and were given free packs to take home to our parents. I tell people this and they ask me how old I am, thinking, I guess, that I went to the world's first elementary school, one where we wrote on cave walls and hunted our lunch with clubs. Then I mention the smoking lounge at my high school. It was outdoors, but, still, you'd never find anything like that now, not even if the school was in a prison.

I recall seeing ashtrays in movie theatres and grocery stores, but they didn't make me want to smoke. In fact, it was just the opposite. Once, I drove an embroidery needle into my mother's carton of Winstons, over and over, as if it were a voodoo doll. She then beat me for twenty seconds, at which point she ran out of breath and stood there panting, â€œThat's . . . not . . . funny.â€

A few years later, we were sitting around the breakfast table and she invited me to take a puff. I did. Then I ran to the kitchen and drained a carton of orange juice, drinking so furiously that half of it ran down my chin and onto my shirt. How could she, or anyone, really, make a habit of something so fundamentally unpleasant? When my sister Lisa started smoking, I forbade her to enter my bedroom with a lit cigarette. She could talk to me, but only from the other side of the threshold, and she had to avert her head when she exhaled. I did the same when my sister Gretchen started.

It wasn't the smoke but the smell of it that bothered me. In later years, I didn't care so much, but at the time I found it depressing: the scent of neglect. It wasn't so noticeable in the rest of the house, but then again the rest of the house was neglected. My room was clean and orderly, and if I'd had my way it would have smelled like"," My room was clean and orderly, and if I'd had my way it would have smelled like"," an album jacket the moment you remove the plastic. That is to say, it would have smelled like anticipation.",0.8," a house in disrepair. So I had it at first. Not the light, which didn't bother me; then the door, because I couldn't stand being in this bed, so I closed the windows. After that, nothing bothered: the floor, the sheets, everything. The smell kept coming back, stronger and stronger, until it became too much for",18.48155212,,,,,,
1,"When I was in fourth grade, my class took a field trip to the American Tobacco plant in nearby Durham, North Carolina. There we witnessed the making of cigarettes and were given free packs to take home to our parents. I tell people this and they ask me how old I am, thinking, I guess, that I went to the world's first elementary school, one where we wrote on cave walls and hunted our lunch with clubs. Then I mention the smoking lounge at my high school. It was outdoors, but, still, you'd never find anything like that now, not even if the school was in a prison.

I recall seeing ashtrays in movie theatres and grocery stores, but they didn't make me want to smoke. In fact, it was just the opposite. Once, I drove an embroidery needle into my mother's carton of Winstons, over and over, as if it were a voodoo doll. She then beat me for twenty seconds, at which point she ran out of breath and stood there panting, â€œThat's . . . not . . . funny.â€

A few years later, we were sitting around the breakfast table and she invited me to take a puff. I did. Then I ran to the kitchen and drained a carton of orange juice, drinking so furiously that half of it ran down my chin and onto my shirt. How could she, or anyone, really, make a habit of something so fundamentally unpleasant? When my sister Lisa started smoking, I forbade her to enter my bedroom with a lit cigarette. She could talk to me, but only from the other side of the threshold, and she had to avert her head when she exhaled. I did the same when my sister Gretchen started.

It wasn't the smoke but the smell of it that bothered me. In later years, I didn't care so much, but at the time I found it depressing: the scent of neglect. It wasn't so noticeable in the rest of the house, but then again the rest of the house was neglected. My room was clean and orderly, and if I'd had my way it would have smelled like"," My room was clean and orderly, and if I'd had my way it would have smelled like"," an album jacket the moment you remove the plastic. That is to say, it would have smelled like anticipation.",0.9," smoke all over the place.
At high-school, there were also lots of snuffs on campus and there was a newspaper in our cafeteria. They all had the number one snuffer. Every year they changed that number so that the two months in between the newspaper and the one with the newsletter were the best months for sniffing.

Today",19.08670044,,,,,,
1,"When I was in fourth grade, my class took a field trip to the American Tobacco plant in nearby Durham, North Carolina. There we witnessed the making of cigarettes and were given free packs to take home to our parents. I tell people this and they ask me how old I am, thinking, I guess, that I went to the world's first elementary school, one where we wrote on cave walls and hunted our lunch with clubs. Then I mention the smoking lounge at my high school. It was outdoors, but, still, you'd never find anything like that now, not even if the school was in a prison.

I recall seeing ashtrays in movie theatres and grocery stores, but they didn't make me want to smoke. In fact, it was just the opposite. Once, I drove an embroidery needle into my mother's carton of Winstons, over and over, as if it were a voodoo doll. She then beat me for twenty seconds, at which point she ran out of breath and stood there panting, â€œThat's . . . not . . . funny.â€

A few years later, we were sitting around the breakfast table and she invited me to take a puff. I did. Then I ran to the kitchen and drained a carton of orange juice, drinking so furiously that half of it ran down my chin and onto my shirt. How could she, or anyone, really, make a habit of something so fundamentally unpleasant? When my sister Lisa started smoking, I forbade her to enter my bedroom with a lit cigarette. She could talk to me, but only from the other side of the threshold, and she had to avert her head when she exhaled. I did the same when my sister Gretchen started.

It wasn't the smoke but the smell of it that bothered me. In later years, I didn't care so much, but at the time I found it depressing: the scent of neglect. It wasn't so noticeable in the rest of the house, but then again the rest of the house was neglected. My room was clean and orderly, and if I'd had my way it would have smelled like"," My room was clean and orderly, and if I'd had my way it would have smelled like"," an album jacket the moment you remove the plastic. That is to say, it would have smelled like anticipation.",1," I had wiped it out. So I said, ""What about my carpet? Why shouldn't I just throw it on the floor of my room?"" I made a few attempts. However, the carpet needed re-painting, so they called over a painter to have a look at everything in order. It's probably not a particularly good excuse, because that night",19.02633095,,,,,,
